56977	1785526974-KTP1	300	0	33	25	6	1	0	6060	24
56978	1785526974-KTP1	301	0	60	38	6	1	0	9987	21
56979	1785526974-KTP1	312	0	34	23	2	0	0	5251	9
56980	1785526974-KTP1	315	0	49	38	3	0	0	6472	15
56981	1785526974-KTP1	320	0	33	25	0	0	0	4598	16
56982	1785526974-KTP1	322	0	17	34	1	3	0	2751	19
56983	1785526974-KTP1	329	0	11	38	0	4	0	2647	8
56984	1785526974-KTP1	333	0	32	40	9	1	0	5502	19
56985	1785526974-KTP1	345	0	25	37	9	1	0	4147	16
56989	1785527071-KTP3	298	1	25	16	4	1	0	3632	9
56990	1785527071-KTP3	299	1	22	15	5	1	0	3679	10
56991	1785527071-KTP3	307	1	18	23	6	2	0	3446	7
56992	1785527071-KTP3	308	1	20	10	3	0	0	3317	9
56993	1785527071-KTP3	313	1	16	14	0	1	0	2497	2
56994	1785527071-KTP3	314	1	13	13	1	0	0	2371	9
56995	1785527071-KTP3	317	1	7	19	3	0	0	1436	5
56996	1785527071-KTP3	318	1	19	18	9	0	0	2609	5
56997	1785527071-KTP3	324	1	22	19	4	1	0	4138	8
56998	1785527071-KTP3	337	1	21	21	0	0	0	3378	10
56999	1785527071-KTP3	338	1	17	18	2	0	0	3114	8
57000	1785527071-KTP3	344	1	5	19	1	0	0	1123	5
57004	1785527071-KTP3	298	2	33	15	8	2	0	5225	10
57005	1785527071-KTP3	299	2	16	11	0	0	0	2330	9
57006	1785527071-KTP3	307	2	11	24	3	0	0	1659	6
57007	1785527071-KTP3	308	2	21	13	1	0	0	3039	7
57008	1785527071-KTP3	313	2	18	18	3	0	0	3104	10
57009	1785527071-KTP3	314	2	16	14	2	0	0	2954	13
57010	1785527071-KTP3	317	2	11	18	1	1	0	2018	6
57011	1785527071-KTP3	318	2	13	14	2	1	0	2262	10
57012	1785527071-KTP3	324	2	9	19	1	0	0	1383	5
57013	1785527071-KTP3	337	2	20	18	1	0	0	3500	3
57014	1785527071-KTP3	338	2	22	18	0	0	0	3280	5
57015	1785527071-KTP3	344	2	12	20	5	0	0	1904	5
57019	1785527071-KTP3	298	0	58	31	12	3	0	8857	19
57020	1785527071-KTP3	299	0	38	26	5	1	0	6009	19
57021	1785527071-KTP3	307	0	29	47	9	2	0	5105	13
57022	1785527071-KTP3	308	0	41	23	4	0	0	6356	16
57023	1785527071-KTP3	313	0	34	32	3	1	0	5601	12
57024	1785527071-KTP3	314	0	29	27	3	0	0	5325	22
57025	1785527071-KTP3	317	0	18	37	4	1	0	3454	11
57026	1785527071-KTP3	318	0	32	32	11	1	0	4871	15
57027	1785527071-KTP3	324	0	31	38	5	1	0	5521	13
57028	1785527071-KTP3	337	0	41	39	1	0	0	6878	13
57029	1785527071-KTP3	338	0	39	36	2	0	0	6394	13
57030	1785527071-KTP3	344	0	17	39	6	0	0	3027	10
57034	1785527247-KTP2	288	1	21	18	0	0	0	2552	15
57035	1785527247-KTP2	296	1	13	18	2	1	0	2266	13
57036	1785527247-KTP2	304	1	19	16	2	0	0	3098	9
57037	1785527247-KTP2	325	1	15	17	4	0	0	2988	3
57038	1785527247-KTP2	326	1	12	22	5	0	0	1952	9
57039	1785527247-KTP2	331	1	19	15	2	0	0	3358	3
57040	1785527247-KTP2	336	1	16	15	1	0	0	2327	6
57041	1785527247-KTP2	341	1	15	14	2	0	0	2186	11
57042	1785527247-KTP2	343	1	13	16	5	0	0	2041	2
57043	1785527247-KTP2	346	1	12	15	0	0	0	1595	4
57044	1785527247-KTP2	347	1	20	15	2	0	0	3931	6
57045	1785527247-KTP2	348	1	20	14	1	0	0	3155	4
57049	1785527247-KTP2	288	2	15	14	3	0	0	2660	4
57050	1785527247-KTP2	296	2	11	17	2	1	0	2122	6
57051	1785527247-KTP2	304	2	12	19	1	0	0	2794	8
57052	1785527247-KTP2	325	2	11	20	0	0	0	1768	6
57053	1785527247-KTP2	326	2	12	17	3	0	0	1354	5
57054	1785527247-KTP2	331	2	24	12	3	0	0	3713	13
57055	1785527247-KTP2	336	2	14	18	3	1	0	2481	2
57056	1785527247-KTP2	341	2	7	16	2	0	0	960	9
57057	1785527247-KTP2	343	2	16	15	1	0	0	2370	6
57058	1785527247-KTP2	346	2	18	13	1	0	0	2746	3
57059	1785527247-KTP2	347	2	29	15	2	0	0	4717	8
57060	1785527247-KTP2	348	2	21	14	4	0	0	3924	5
57064	1785527247-KTP2	288	0	36	32	3	0	0	5212	19
57065	1785527247-KTP2	296	0	24	35	4	2	0	4388	19
57066	1785527247-KTP2	304	0	31	35	3	0	0	5892	17
57067	1785527247-KTP2	325	0	26	37	4	0	0	4756	9
57068	1785527247-KTP2	326	0	24	39	8	0	0	3306	14
57069	1785527247-KTP2	331	0	43	27	5	0	0	7071	16
57070	1785527247-KTP2	336	0	30	33	4	1	0	4808	8
57071	1785527247-KTP2	341	0	22	30	4	0	0	3146	20
57072	1785527247-KTP2	343	0	29	31	6	0	0	4411	8
57073	1785527247-KTP2	346	0	30	28	1	0	0	4341	7
57074	1785527247-KTP2	347	0	49	30	4	0	0	8648	14
57075	1785527247-KTP2	348	0	41	28	5	0	0	7079	9
57079	1785526997-KTP5	289	1	27	18	4	1	0	5490	10
57080	1785526997-KTP5	297	1	9	18	0	0	0	1466	2
57081	1785526997-KTP5	305	1	22	19	6	2	0	3026	5
57082	1785526997-KTP5	309	1	16	20	1	0	0	2720	5
57083	1785526997-KTP5	310	1	23	16	6	0	0	4061	5
57084	1785526997-KTP5	316	1	15	15	2	0	0	2377	4
57085	1785526997-KTP5	319	1	10	17	1	2	0	1895	6
57086	1785526997-KTP5	321	1	24	19	4	3	0	4200	7
57087	1785526997-KTP5	328	1	17	17	3	0	0	3158	2
57088	1785526997-KTP5	330	1	13	18	3	1	0	2085	9
57089	1785526997-KTP5	340	1	13	13	4	0	0	2424	9
57090	1785526997-KTP5	342	1	18	17	1	1	0	2765	7
57094	1785526997-KTP5	289	2	33	15	1	1	0	5317	12
57095	1785526997-KTP5	297	2	12	25	3	0	0	1919	0
57096	1785526997-KTP5	305	2	15	21	6	0	0	2791	6
57097	1785526997-KTP5	309	2	15	22	5	0	0	2511	9
57098	1785526997-KTP5	310	2	21	16	1	0	0	3171	8
57099	1785526997-KTP5	316	2	29	11	3	1	0	4843	7
57100	1785526997-KTP5	319	2	12	16	2	0	0	1843	8
57101	1785526997-KTP5	321	2	21	17	4	0	0	4299	10
57102	1785526997-KTP5	328	2	12	19	0	0	0	1935	5
57103	1785526997-KTP5	330	2	13	18	2	0	0	1800	11
57104	1785526997-KTP5	340	2	9	9	1	0	0	1278	5
57105	1785526997-KTP5	342	2	16	19	4	0	0	3248	11
57109	1785526997-KTP5	289	0	60	33	5	2	0	10807	22
57110	1785526997-KTP5	297	0	21	43	3	0	0	3385	2
57111	1785526997-KTP5	305	0	37	40	12	2	0	5817	11
57112	1785526997-KTP5	309	0	31	42	6	0	0	5231	14
57113	1785526997-KTP5	310	0	44	32	7	0	0	7232	13
57114	1785526997-KTP5	316	0	44	26	5	1	0	7220	11
57115	1785526997-KTP5	319	0	22	33	3	2	0	3738	14
57116	1785526997-KTP5	321	0	45	36	8	3	0	8499	17
57117	1785526997-KTP5	328	0	29	36	3	0	0	5093	7
57118	1785526997-KTP5	330	0	26	36	5	1	0	3885	20
57119	1785526997-KTP5	340	0	22	22	5	0	0	3702	14
57120	1785526997-KTP5	342	0	34	36	5	1	0	6013	18
57124	1785527132-KTP4	291	1	22	19	6	3	0	3958	16
57125	1785527132-KTP4	294	1	8	29	1	2	0	1629	8
57126	1785527132-KTP4	295	1	18	28	5	2	0	4202	15
57127	1785527132-KTP4	302	1	21	28	3	1	0	3719	12
57128	1785527132-KTP4	306	1	14	28	2	1	0	2000	12
57129	1785527132-KTP4	311	1	27	20	4	0	0	5209	12
57130	1785527132-KTP4	323	1	31	25	4	1	0	5854	10
57131	1785527132-KTP4	327	1	32	14	4	0	0	4533	17
57132	1785527132-KTP4	332	1	23	35	4	0	0	3905	10
57133	1785527132-KTP4	334	1	29	18	1	0	0	4270	5
57134	1785527132-KTP4	335	1	38	23	6	0	0	5987	9
57135	1785527132-KTP4	339	1	27	23	4	0	0	4626	5
57139	1785527132-KTP4	291	2	25	23	1	1	0	3836	8
57140	1785527132-KTP4	294	2	10	30	2	0	0	2069	6
57141	1785527132-KTP4	295	2	12	27	6	1	0	1851	11
57142	1785527132-KTP4	302	2	43	24	7	2	0	7532	7
57143	1785527132-KTP4	306	2	19	27	8	1	0	2924	8
57144	1785527132-KTP4	311	2	20	24	3	1	0	4115	12
