"TEAMS","Player","","KTPR","Matches","Att.","Flags","F/T","Kills","K/T","Deaths","D/T","K/D Ratio","Kills/Match","Kills/Half","Deaths/Match","Deaths/Half","Flags/Match","Flags/Half","Class"
"","HLAH","1","0.42","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","RIFLE"
"","hypnotik","1","0.71","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","SNIPER"
"","Epyon","1","0.64","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","LIGHT"
"","reptaR","1","0.56","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","RIFLE"
"","hey hi","1","0.70","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","HEAVY"
"","TEAM'S FIGURES","","","#REF!","6 players","#N/A","-","#N/A","-","#N/A","-","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","-"
"NoGo","Khoi","1","0.41","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","RIFLE"
"","ddro","1","0.63","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","RIFLE"
"","matthew","1","0.44","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","RIFLE"
"","tEa","1","1.00","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","SNIPER"
"","twist","1","0.45","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","HEAVY"
"","Piff","1","0.95","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","LIGHT"
"","kroD","1","1.39","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","HEAVY"
"","TEAM'S FIGURES","","0.75","#REF!","7 players","#N/A","-","#N/A","-","#N/A","-","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","-"
"soul","stamp","1","0.93","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","HEAVY"
"","Black Hawk","1","0.76","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","HEAVY"
"","The Bear","1","1.27","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","RIFLE"
"","jacksonL","1","0.96","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","RIFLE"
