"Players","","KTPRn","Matches","Att.","Flags","Kills","Deaths","K/D Ratio","Kills/Match","Kills/Half","Deaths/Match","Deaths/Half","Flags/Match","Flags/Half","Player Team","Class","","Team Name","KTPR","Matches","Flags","Kills","Deaths","K/D Ratio","Kills/Match","Kills/Half","Deaths/Match","Deaths/Half","Flags/Match","Flags/Half",""
"Incite","1","0.86","5","100%","47","259","317","0.82","51.8","25.9","63.4","31.7","9.4","4.7","LATE","HEAVY","","","","","","","","","","","","","","",""
"baronn","1","0.83","5","100%","93","241","289","0.83","48.2","24.1","57.8","28.9","18.6","9.3","#under","HEAVY","","","","","","","","","","","","","","",""
"Hopper","1","0.83","5","100%","51","232","272","0.85","46.4","23.2","54.4","27.2","10.2","5.1","BestBuds","HEAVY","","","","","","","","","","","","","","",""
"TheWarWithin","1","0.81","5","100%","32","255","290","0.88","51.0","25.5","58.0","29.0","6.4","3.2","BestBuds","SNIPER","","","","","","","","","","","","","","",""
"shreddies","1","0.77","5","100%","89","232","290","0.80","46.4","23.2","58.0","29.0","17.8","8.9","soul","3RD RIFLE","","","","","","","","","","","","","","",""
"Black Hawk","1","0.76","5","100%","34","219","244","0.90","43.8","21.9","48.8","24.4","6.8","3.4","soul","HEAVY","","","","","","","","","","","","","","",""
"hypnotik","1","0.71","5","100%","37","214","256","0.84","42.8","21.4","51.2","25.6","7.4","3.7","Leftovers","SNIPER","","","","","","","","","","","","","","",""
"Cory","1","0.70","5","100%","73","219","285","0.77","43.8","21.9","57.0","28.5","14.6","7.3","ukz","RIFLE","","","","","","","","","","","","","","",""
"Polak","1","0.70","5","100%","57","230","309","0.74","46.0","23.0","61.8","30.9","11.4","5.7","LATE","RIFLE","","","","","","","","","","","","","","",""
"hey hi","1","0.70","5","100%","31","266","347","0.77","53.2","26.6","69.4","34.7","6.2","3.1","Leftovers","HEAVY","","","","","","","","","","","","","","",""
"eman","1","0.65","5","100%","67","206","275","0.75","41.2","20.6","55.0","27.5","13.4","6.7","ukz","HEAVY","","","","","","","","","","","","","","",""
"Epyon","1","0.64","5","100%","58","210","284","0.74","42.0","21.0","56.8","28.4","11.6","5.8","Leftovers","LIGHT","","","","","","","","","","","","","","",""
"ddro","1","0.63","5","100%","77","217","305","0.71","43.4","21.7","61.0","30.5","15.4","7.7","NoGo","RIFLE","","","","","","","","","","","","","","",""
"The Godfodder","1","0.61","5","100%","40","191","248","0.77","38.2","19.1","49.6","24.8","8.0","4.0","BestBuds","HEAVY","","","","","","","","","","","","","","",""
"Miller","1","0.56","5","100%","79","224","351","0.64","44.8","22.4","70.2","35.1","15.8","7.9","LATE","3RD RIFLE","","","","","","","","","","","","","","",""
"reptaR","1","0.56","5","100%","54","246","407","0.60","49.2","24.6","81.4","40.7","10.8","5.4","Leftovers","RIFLE","","","","","","","","","","","","","","",""
"SirSnipeys","1","0.54","5","100%","46","209","327","0.64","41.8","20.9","65.4","32.7","9.2","4.6","LATE","SNIPER","","","","","","","","","","","","","","",""
"fusioN","1","0.52","5","100%","81","176","253","0.70","35.2","17.6","50.6","25.3","16.2","8.1","Thunder","3RD RIFLE","","","","","","","","","","","","","","",""
"Nein","1","0.48","5","100%","33","200","305","0.66","40.0","20.0","61.0","30.5","6.6","3.3","LATE","HEAVY","","","","","","","","","","","","","","",""
"twist","1","0.45","5","100%","37","190","303","0.63","38.0","19.0","60.6","30.3","7.4","3.7","NoGo","HEAVY","","","","","","","","","","","","","","",""
"matthew","1","0.44","5","100%","38","192","320","0.60","38.4","19.2","64.0","32.0","7.6","3.8","NoGo","RIFLE","","","","","","","","","","","","","","",""
"BigBird","1","0.43","5","100%","43","193","340","0.57","38.6","19.3","68.0","34.0","8.6","4.3","BestBuds","3RD RIFLE","","","","","","","","","","","","","","",""
"HLAH","1","0.42","5","100%","58","183","323","0.57","36.6","18.3","64.6","32.3","11.6","5.8","Leftovers","RIFLE","","","","","","","","","","","","","","",""
"Khoi","1","0.41","5","100%","56","202","383","0.53","40.4","20.2","76.6","38.3","11.2","5.6","Leftovers","RIFLE","","","","","","","","","","","","","","",""
