"TEAMS","Player","","KTPR","Matches","Att.","Flags","F/T","Kills","K/T","Deaths","D/T","K/D Ratio","Kills/Match","Kills/Half","Deaths/Match","Deaths/Half","Flags/Match","Flags/Half","Class"
"","Nicholson","1","1.35","5","100%","42","15%","284","21%","207","12%","1.37","56.8","28.4","41.4","20.7","8.4","4.2","SNIPER"
"","eman","1","0.65","5","100%","67","24%","206","15%","275","16%","0.75","41.2","20.6","55.0","27.5","13.4","6.7","HEAVY"
"","TEAM'S FIGURES","","1.01","30","","331","","1,532","","1,610","","0.95","51.1","25.5","53.7","26.8","11.0","5.5","-"
"#under","chi","1","1.05","5","100%","56","20%","258","19%","266","16%","0.97","51.6","25.8","53.2","26.6","11.2","5.6","RIFLE"
"","tilljim","1","1.25","5","100%","62","22%","262","19%","227","14%","1.15","52.4","26.2","45.4","22.7","12.4","6.2","3RD RIFLE"
"","devin","1","1.15","5","100%","51","18%","283","21%","289","17%","0.98","56.6","28.3","57.8","28.9","10.2","5.1","HEAVY"
"","patten","1","1.13","5","100%","32","12%","267","19%","206","12%","1.30","53.4","26.7","41.2","20.6","6.4","3.2","SNIPER"
"","baronn","1","0.83","5","100%","93","33%","241","18%","289","17%","0.83","48.2","24.1","57.8","28.9","18.6","9.3","HEAVY"
"","paintball","1","1.48","5","100%","59","21%","322","23%","277","17%","1.16","64.4","32.2","55.4","27.7","11.8","5.9","RIFLE"
"","TEAM'S FIGURES","","1.15","30","","353","","1,633","","1,554","","1.05","54.4","27.2","51.8","25.9","11.8","5.9","-"
